Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Double OT,,14259,EURUSD,127,0,127,Double OT,,,,1.3155,1.2617,0,EUR,97,97.4,0,97,99,,0,127,129,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R4N,0
Double OT,,14444,EURUSD,61,0,61,Double OT,,,,1.401,1.256,0,EUR,47,46.59,0,47,50,,0,61,65,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R84,0
Double OT,,14449,EURUSD,94,0,94,Double OT,,,,1.3525,1.256,0,EUR,72,72.32,0,72,77,,0,94,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R8T,0
Double OT,,14454,EURUSD,120,0,120,Double OT,,,,1.3256,1.256,0,EUR,92,92.46,0,92,96,,0,120,124,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9R9J,0
Double OT,,14459,EURUSD,126,0,126,Double OT,,,,1.318,1.256,0,EUR,97,96.52,0,97,98,,0,126,128,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/13/2012,GMT 15:00,03/13/2012,Vanna Volga,1.3013,11.77,0.218,0.347,OPSK9RB5,0
Double OT,,14644,EURUSD,62,0,62,Double OT,,,,1.412,1.2517,0,EUR,47,47.27,0,47,51,,0,62,67,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RHR,0
Double OT,,14649,EURUSD,95,0,95,Double OT,,,,1.3581,1.2517,0,EUR,73,72.9,0,73,78,,0,95,102,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RJV,0
Double OT,,14654,EURUSD,121,0,121,Double OT,,,,1.3284,1.2517,0,EUR,93,92.63,0,93,96,,0,121,125,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RKW,0
Double OT,,14659,EURUSD,126,0,126,Double OT,,,,1.3199,1.2517,0,EUR,97,96.6,0,97,98,,0,126,128,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,1.3013,12.01,0.253,0.394,OPSK9RLZ,0
Double OT,,14844,EURUSD,61,0,61,Double OT,,,,1.4401,1.2411,0,EUR,47,46.87,0,47,51,,0,61,67,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RNP,0
