symbol,epoch,quote
frxUSDJPY,1352340769,79.848
frxUSDJPY,1352340770,79.847
frxUSDJPY,1352340771,79.847
frxUSDJPY,1352340774,79.848
frxUSDJPY,1352340775,79.848
frxUSDJPY,1352340777,79.848
frxUSDJPY,1352340779,79.849
frxUSDJPY,1352340780,79.852
frxUSDJPY,1352340781,79.85
frxUSDJPY,1352340786,79.848
frxUSDJPY,1352340788,79.848
frxUSDJPY,1352340797,79.85
frxUSDJPY,1352340801,79.849
frxUSDJPY,1352340802,79.849
frxUSDJPY,1352340804,79.849
frxUSDJPY,1352340809,79.847
frxUSDJPY,1352340810,79.848
frxUSDJPY,1352340811,79.85
frxUSDJPY,1352340813,79.854
frxUSDJPY,1352340816,79.858
frxUSDJPY,1352340819,79.854
frxUSDJPY,1352340823,79.854
frxUSDJPY,1352340826,79.86
frxUSDJPY,1352340827,79.856
frxUSDJPY,1352340828,79.855
frxUSDJPY,1352340829,79.855
frxUSDJPY,1352340831,79.86
frxUSDJPY,1352340833,79.855
frxUSDJPY,1352340836,79.861
frxUSDJPY,1352340838,79.857
frxUSDJPY,1352340842,79.86
frxUSDJPY,1352340845,79.856
frxUSDJPY,1352340847,79.854
frxUSDJPY,1352340848,79.853
frxUSDJPY,1352340852,79.855
frxUSDJPY,1352340854,79.854
frxUSDJPY,1352340857,79.855
frxUSDJPY,1352340861,79.862
frxUSDJPY,1352340864,79.856
frxUSDJPY,1352340867,79.862
frxUSDJPY,1352340869,79.859
frxUSDJPY,1352340870,79.856
frxUSDJPY,1352340871,79.857
frxUSDJPY,1352340874,79.857
frxUSDJPY,1352340875,79.856
frxUSDJPY,1352340878,79.854
frxUSDJPY,1352340879,79.853
frxUSDJPY,1352340880,79.851
frxUSDJPY,1352340881,79.853
frxUSDJPY,1352340885,79.853
frxUSDJPY,1352340888,79.854
frxUSDJPY,1352340889,79.855
frxUSDJPY,1352340890,79.855
frxUSDJPY,1352340893,79.863
frxUSDJPY,1352340898,79.856
frxUSDJPY,1352340901,79.856
frxUSDJPY,1352340904,79.861
frxUSDJPY,1352340911,79.857
frxUSDJPY,1352340913,79.856
frxUSDJPY,1352340916,79.856
frxUSDJPY,1352340920,79.855
frxUSDJPY,1352340921,79.855
frxUSDJPY,1352340924,79.86
frxUSDJPY,1352340929,79.859
frxUSDJPY,1352340933,79.859
frxUSDJPY,1352340934,79.862
frxUSDJPY,1352340936,79.866
frxUSDJPY,1352340937,79.863
frxUSDJPY,1352340938,79.863
frxUSDJPY,1352340939,79.867
frxUSDJPY,1352340941,79.863
frxUSDJPY,1352340942,79.864
frxUSDJPY,1352340943,79.866
frxUSDJPY,1352340944,79.864
frxUSDJPY,1352340949,79.86
frxUSDJPY,1352340950,79.862
frxUSDJPY,1352340953,79.861
frxUSDJPY,1352340954,79.863
frxUSDJPY,1352340956,79.861
frxUSDJPY,1352340957,79.861
frxUSDJPY,1352340959,79.862
frxUSDJPY,1352340960,79.861
frxUSDJPY,1352340961,79.861
frxUSDJPY,1352340968,79.86
frxUSDJPY,1352340975,79.872
frxUSDJPY,1352340981,79.867
frxUSDJPY,1352340982,79.872
frxUSDJPY,1352340995,79.867
frxUSDJPY,1352340997,79.866
frxUSDJPY,1352340998,79.861
frxUSDJPY,1352341000,79.864
frxUSDJPY,1352341002,79.867
frxUSDJPY,1352341003,79.872
frxUSDJPY,1352341004,79.868
frxUSDJPY,1352341005,79.865
frxUSDJPY,1352341006,79.871
frxUSDJPY,1352341010,79.866
frxUSDJPY,1352341011,79.865
frxUSDJPY,1352341012,79.869
frxUSDJPY,1352341013,79.872
frxUSDJPY,1352341014,79.868
frxUSDJPY,1352341015,79.869
frxUSDJPY,1352341016,79.869
frxUSDJPY,1352341019,79.87
frxUSDJPY,1352341020,79.873
frxUSDJPY,1352341021,79.874
frxUSDJPY,1352341025,79.875
frxUSDJPY,1352341026,79.874
frxUSDJPY,1352341028,79.874
frxUSDJPY,1352341029,79.874
frxUSDJPY,1352341030,79.881
frxUSDJPY,1352341032,79.876
frxUSDJPY,1352341033,79.874
frxUSDJPY,1352341034,79.868
frxUSDJPY,1352341035,79.881
frxUSDJPY,1352341039,79.884
frxUSDJPY,1352341051,79.878
frxUSDJPY,1352341054,79.875
frxUSDJPY,1352341062,79.875
frxUSDJPY,1352341065,79.876
frxUSDJPY,1352341067,79.874
frxUSDJPY,1352341068,79.873
frxUSDJPY,1352341069,79.875
frxUSDJPY,1352341071,79.875
frxUSDJPY,1352341072,79.877
frxUSDJPY,1352341073,79.877
frxUSDJPY,1352341075,79.877
frxUSDJPY,1352341076,79.881
frxUSDJPY,1352341077,79.881
frxUSDJPY,1352341079,79.878
frxUSDJPY,1352341082,79.882
frxUSDJPY,1352341085,79.878
frxUSDJPY,1352341086,79.876
frxUSDJPY,1352341088,79.881
frxUSDJPY,1352341090,79.876
frxUSDJPY,1352341091,79.875
frxUSDJPY,1352341092,79.875
frxUSDJPY,1352341093,79.877
frxUSDJPY,1352341095,79.881
frxUSDJPY,1352341097,79.877
frxUSDJPY,1352341098,79.885
frxUSDJPY,1352341099,79.888
frxUSDJPY,1352341100,79.887
frxUSDJPY,1352341101,79.887
frxUSDJPY,1352341102,79.887
frxUSDJPY,1352341103,79.885
frxUSDJPY,1352341104,79.887
frxUSDJPY,1352341105,79.886
frxUSDJPY,1352341107,79.888
frxUSDJPY,1352341109,79.894
frxUSDJPY,1352341110,79.889
frxUSDJPY,1352341111,79.889
frxUSDJPY,1352341112,79.892
frxUSDJPY,1352341117,79.89
frxUSDJPY,1352341119,79.893
frxUSDJPY,1352341121,79.892
frxUSDJPY,1352341122,79.892
frxUSDJPY,1352341123,79.892
frxUSDJPY,1352341124,79.89
frxUSDJPY,1352341126,79.887
frxUSDJPY,1352341128,79.892
frxUSDJPY,1352341130,79.889
frxUSDJPY,1352341132,79.9
frxUSDJPY,1352341133,79.892
frxUSDJPY,1352341135,79.889
frxUSDJPY,1352341137,79.89
frxUSDJPY,1352341138,79.893
frxUSDJPY,1352341139,79.893
frxUSDJPY,1352341140,79.889
frxUSDJPY,1352341142,79.899
frxUSDJPY,1352341144,79.895
frxUSDJPY,1352341145,79.891
frxUSDJPY,1352341149,79.889
frxUSDJPY,1352341152,79.897
frxUSDJPY,1352341153,79.893
frxUSDJPY,1352341154,79.89
frxUSDJPY,1352341158,79.889
frxUSDJPY,1352341160,79.885
frxUSDJPY,1352341166,79.884
frxUSDJPY,1352341170,79.885
frxUSDJPY,1352341173,79.885
frxUSDJPY,1352341175,79.888
frxUSDJPY,1352341179,79.892
frxUSDJPY,1352341182,79.893
frxUSDJPY,1352341183,79.893
frxUSDJPY,1352341184,79.894
frxUSDJPY,1352341186,79.891
frxUSDJPY,1352341187,79.892
frxUSDJPY,1352341189,79.892
frxUSDJPY,1352341190,79.9
frxUSDJPY,1352341191,79.892
frxUSDJPY,1352341197,79.899
frxUSDJPY,1352341198,79.897
frxUSDJPY,1352341200,79.894
frxUSDJPY,1352341202,79.891
frxUSDJPY,1352341203,79.893
frxUSDJPY,1352341204,79.893
frxUSDJPY,1352341205,79.898
frxUSDJPY,1352341206,79.893
frxUSDJPY,1352341207,79.893
frxUSDJPY,1352341209,79.896
frxUSDJPY,1352341210,79.895
frxUSDJPY,1352341211,79.893
frxUSDJPY,1352341213,79.894
frxUSDJPY,1352341214,79.888
frxUSDJPY,1352341217,79.891
frxUSDJPY,1352341219,79.892
frxUSDJPY,1352341222,79.885
frxUSDJPY,1352341224,79.891
frxUSDJPY,1352341227,79.89
frxUSDJPY,1352341229,79.888
frxUSDJPY,1352341231,79.892
frxUSDJPY,1352341233,79.888
frxUSDJPY,1352341235,79.886
frxUSDJPY,1352341236,79.888
frxUSDJPY,1352341237,79.889
frxUSDJPY,1352341239,79.893
frxUSDJPY,1352341242,79.893
frxUSDJPY,1352341243,79.899
frxUSDJPY,1352341244,79.891
frxUSDJPY,1352341246,79.891
frxUSDJPY,1352341247,79.891
frxUSDJPY,1352341248,79.891
frxUSDJPY,1352341255,79.893
frxUSDJPY,1352341258,79.898
frxUSDJPY,1352341268,79.891
frxUSDJPY,1352341269,79.891
frxUSDJPY,1352341271,79.89
frxUSDJPY,1352341277,79.891
frxUSDJPY,1352341278,79.892
frxUSDJPY,1352341283,79.892
frxUSDJPY,1352341285,79.89
