,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
13-Mar-14,12.3698,,,,,,,,,,,,,,,,,,,,,
14-Mar-14,5.4731,,,,,,,,,,,,,,,,,,,,,
20-Mar-14,2.3399,,,,,,,,,,,,,,,,,,,,,
21-Mar-14,1.5209,,,,,,,,,,,,,,,,,,,,,
27-Mar-14,2.6323,,,,,,,,,,,,,,,,,,,,,
3-Apr-14,2.5466,,,,,,,,,,,,,,,,,,,,,
10-Apr-14,0.688,,,,,,,,,,,,,,,,,,,,,
17-Apr-14,3.9449,,,,,,,,,,,,,,,,,,,,,
22-Apr-14,1.9066,,,,,,,,,,,,,,,,,,,,,
24-Apr-14,8.4298,,,,,,,,,,,,,,,,,,,,,
1-May-14,2.6685,,,,,,,,,,,,,,,,,,,,,
2-May-14,0.6713,,,,,,,,,,,,,,,,,,,,,
8-May-14,11.3485,,,,,,,,,,,,,,,,,,,,,
15-May-14,8.2039,,,,,,,,,,,,,,,,,,,,,
16-May-14,5.6276,,,,,,,,,,,,,,,,,,,,,
22-May-14,2.9008,,,,,,,,,,,,,,,,,,,,,
29-May-14,0.8161,,,,,,,,,,,,,,,,,,,,,
30-May-14,2.6306,,,,,,,,,,,,,,,,,,,,,
5-Jun-14,0.157,,,,,,,,,,,,,,,,,,,,,
6-Jun-14,0,,,,,,,,,,,,,,,,,,,,,
12-Jun-14,11.6881,,,,,,,,,,,,,,,,,,,,,
19-Jun-14,2.3158,,,,,,,,,,,,,,,,,,,,,
26-Jun-14,0.9094,,,,,,,,,,,,,,,,,,,,,
27-Jun-14,0.4722,,,,,,,,,,,,,,,,,,,,,
4-Jul-14,0.3378,,,,,,,,,,,,,,,,,,,,,
10-Jul-14,0.0879,,,,,,,,,,,,,,,,,,,,,
17-Jul-14,1.542,,,,,,,,,,,,,,,,,,,,,
25-Jul-14,2.1527,,,,,,,,,,,,,,,,,,,,,
7-Aug-14,13.5488,,,,,,,,,,,,,,,,,,,,,
8-Aug-14,2.5029,,,,,,,,,,,,,,,,,,,,,
14-Aug-14,13.726,,,,,,,,,,,,,,,,,,,,,
15-Aug-14,4.1739,,,,,,,,,,,,,,,,,,,,,
21-Aug-14,4.38,,,,,,,,,,,,,,,,,,,,,
22-Aug-14,0,,,,,,,,,,,,,,,,,,,,,
28-Aug-14,2.8061,,,,,,,,,,,,,,,,,,,,,
4-Sep-14,3.6738,,,,,,,,,,,,,,,,,,,,,
11-Sep-14,0.6907,,,,,,,,,,,,,,,,,,,,,
12-Sep-14,0.1579,,,,,,,,,,,,,,,,,,,,,
18-Sep-14,0.0789,,,,,,,,,,,,,,,,,,,,,
19-Sep-14,0.6507,,,,,,,,,,,,,,,,,,,,,
25-Sep-14,1.2731,,,,,,,,,,,,,,,,,,,,,
2-Oct-14,0.0879,,,,,,,,,,,,,,,,,,,,,
9-Oct-14,2.5487,,,,,,,,,,,,,,,,,,,,,
10-Oct-14,0,,,,,,,,,,,,,,,,,,,,,
17-Oct-14,1.3756,,,,,,,,,,,,,,,,,,,,,
24-Oct-14,2.1921,,,,,,,,,,,,,,,,,,,,,
31-Oct-14,0.4011,,,,,,,,,,,,,,,,,,,,,
7-Nov-14,7.5939,,,,,,,,,,,,,,,,,,,,,
14-Nov-14,12.1677,,,,,,,,,,,,,,,,,,,,,
17-Nov-14,0.3259,,,,,,,,,,,,,,,,,,,,,
21-Nov-14,6.3528,,,,,,,,,,,,,,,,,,,,,
24-Nov-14,6.0036,,,,,,,,,,,,,,,,,,,,,
28-Nov-14,0.1736,,,,,,,,,,,,,,,,,,,,,
1-Dec-14,1.5723,,,,,,,,,,,,,,,,,,,,,
5-Dec-14,1.657,,,,,,,,,,,,,,,,,,,,,
19-Dec-14,0.3905,,,,,,,,,,,,,,,,,,,,,
24-Dec-14,1.1472,,,,,,,,,,,,,,,,,,,,,
29-Dec-14,0.5733,,,,,,,,,,,,,,,,,,,,,
16-Jan-15,4.0339,,,,,,,,,,,,,,,,,,,,,
23-Jan-15,1.2886,,,,,,,,,,,,,,,,,,,,,
26-Jan-15,1.1458,,,,,,,,,,,,,,,,,,,,,
6-Feb-15,1.0273,,,,,,,,,,,,,,,,,,,,,
13-Feb-15,20.2461,,,,,,,,,,,,,,,,,,,,,
20-Feb-15,9.4376,,,,,,,,,,,,,,,,,,,,,
27-Feb-15,0.2369,,,,,,,,,,,,,,,,,,,,,
6-Mar-15,7.1058,,,,,,,,,,,,,,,,,,,,,
13-Mar-15,10.6083,,,,,,,,,,,,,,,,,,,,,
16-Mar-15,5.9045,,,,,,,,,,,,,,,,,,,,,
20-Mar-15,1.7569,,,,,,,,,,,,,,,,,,,,,
23-Mar-15,1.2952,,,,,,,,,,,,,,,,,,,,,
27-Mar-15,3.4523,,,,,,,,,,,,,,,,,,,,,
7-Apr-15,2.5277,,,,,,,,,,,,,,,,,,,,,
10-Apr-15,0.6175,,,,,,,,,,,,,,,,,,,,,
17-Apr-15,3.8866,,,,,,,,,,,,,,,,,,,,,
20-Apr-15,1.8956,,,,,,,,,,,,,,,,,,,,,
24-Apr-15,8.3979,,,,,,,,,,,,,,,,,,,,,
1-May-15,2.5889,,,,,,,,,,,,,,,,,,,,,
5-May-15,0.6674,,,,,,,,,,,,,,,,,,,,,
8-May-15,10.6958,,,,,,,,,,,,,,,,,,,,,
15-May-15,7.9351,,,,,,,,,,,,,,,,,,,,,
18-May-15,6.7946,,,,,,,,,,,,,,,,,,,,,
22-May-15,2.3157,,,,,,,,,,,,,,,,,,,,,
29-May-15,0.6231,,,,,,,,,,,,,,,,,,,,,
1-Jun-15,2.6176,,,,,,,,,,,,,,,,,,,,,
5-Jun-15,0.1512,,,,,,,,,,,,,,,,,,,,,
8-Jun-15,0,,,,,,,,,,,,,,,,,,,,,
12-Jun-15,8.5905,,,,,,,,,,,,,,,,,,,,,
19-Jun-15,2.2965,,,,,,,,,,,,,,,,,,,,,
26-Jun-15,0.7946,,,,,,,,,,,,,,,,,,,,,
29-Jun-15,0.4125,,,,,,,,,,,,,,,,,,,,,
6-Jul-15,0.2952,,,,,,,,,,,,,,,,,,,,,
10-Jul-15,0.0768,,,,,,,,,,,,,,,,,,,,,
17-Jul-15,1.3472,,,,,,,,,,,,,,,,,,,,,
27-Jul-15,1.8808,,,,,,,,,,,,,,,,,,,,,
7-Aug-15,11.4086,,,,,,,,,,,,,,,,,,,,,
10-Aug-15,2.1985,,,,,,,,,,,,,,,,,,,,,
14-Aug-15,11.78,,,,,,,,,,,,,,,,,,,,,
17-Aug-15,4.2922,,,,,,,,,,,,,,,,,,,,,
21-Aug-15,3.8193,,,,,,,,,,,,,,,,,,,,,
24-Aug-15,0,,,,,,,,,,,,,,,,,,,,,
28-Aug-15,2.2113,,,,,,,,,,,,,,,,,,,,,
4-Sep-15,3.1976,,,,,,,,,,,,,,,,,,,,,
11-Sep-15,0.6007,,,,,,,,,,,,,,,,,,,,,
14-Sep-15,0.1172,,,,,,,,,,,,,,,,,,,,,
18-Sep-15,0.0688,,,,,,,,,,,,,,,,,,,,,
21-Sep-15,0.7752,,,,,,,,,,,,,,,,,,,,,
25-Sep-15,1.1651,,,,,,,,,,,,,,,,,,,,,
2-Oct-15,0.0785,,,,,,,,,,,,,,,,,,,,,
9-Oct-15,2.342,,,,,,,,,,,,,,,,,,,,,
12-Oct-15,0,,,,,,,,,,,,,,,,,,,,,
