Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.55,,16,19-Dec-11,19-Dec-11,0.5325,25.77,5.2439,0.03081,-0.02704,-0.00474,0,0,0.5025,0.5625,GBPAUD_61,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.555,,16,19-Dec-11,19-Dec-11,0.4575,24.02,6.1026,0.03492,-0.03037,-0.00492,0,0,0.4275,0.4875,GBPAUD_62,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.56,,16,19-Dec-11,19-Dec-11,0.38875,22.03,6.7036,0.03773,-0.03249,-0.00491,0,0,0.36,0.4175,GBPAUD_63,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.565,,16,19-Dec-11,19-Dec-11,0.32875,19.89,7.0445,0.0392,-0.0334,-0.00473,0,0,0.3,0.3575,GBPAUD_64,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.57,,16,19-Dec-11,19-Dec-11,0.28375,17.68,7.1387,0.03941,-0.0332,-0.00443,0,0,0.255,0.3125,GBPAUD_65,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.575,,16,19-Dec-11,19-Dec-11,0.23625,15.48,7.0124,0.03849,-0.03204,-0.00405,0,0,0.2075,0.265,GBPAUD_66,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.47,,16,19-Dec-11,19-Dec-11,0.8925,9.7904,-5.8574,-0.03093,0.02342,-0.00298,0,0,0.865,0.92,GBPAUD_67,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.475,,16,19-Dec-11,19-Dec-11,0.86,11.93,-6.5285,-0.03436,0.02631,-0.00344,0,0,0.8325,0.8875,GBPAUD_68,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.48,,16,19-Dec-11,19-Dec-11,0.81625,14.28,-7.0884,-0.03714,0.02873,-0.0039,0,0,0.7875,0.845,GBPAUD_69,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.485,,16,19-Dec-11,19-Dec-11,0.76625,16.8,-7.4865,-0.039,0.03042,-0.0043,0,0,0.7375,0.795,GBPAUD_70,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.49,,16,19-Dec-11,19-Dec-11,0.70125,19.42,-7.6756,-0.03968,0.03116,-0.00463,0,0,0.6725,0.73,GBPAUD_71,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.495,,16,19-Dec-11,19-Dec-11,0.63375,22.05,-7.6169,-0.03895,0.03075,-0.00483,0,0,0.605,0.6625,GBPAUD_72,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.5,,16,19-Dec-11,19-Dec-11,0.5525,24.63,-7.2846,-0.03667,0.02906,-0.00486,0,0,0.5225,0.5825,GBPAUD_73,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.505,,16,19-Dec-11,19-Dec-11,0.46625,27.04,-6.6693,-0.03277,0.02603,-0.00465,0,0,0.4375,0.495,GBPAUD_74,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.51,,16,19-Dec-11,19-Dec-11,0.3675,29.21,-5.7805,-0.0273,0.0217,-0.00418,0,0,0.3375,0.3975,GBPAUD_75,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.515,,16,19-Dec-11,19-Dec-11,0.27125,31.04,-4.647,-0.0204,0.0162,-0.00337,0,0,0.2425,0.3,GBPAUD_76,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.52,,16,19-Dec-11,19-Dec-11,0.17125,32.46,-3.3153,-0.01231,0.00975,-0.00221,0,0,0.1425,0.2,GBPAUD_77,0
03-Dec-11,GBPAUD,GBP,AUD,NT,,1.5268,,1.525,,16,19-Dec-11,19-Dec-11,0.06375,33.42,-1.8468,-0.00336,0.00265,-0.00066,0,0,0.0375,0.09,GBPAUD_78,0
