Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Price Bid,Price Offer,ID,mini
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,113,09-Mar-12,09-Mar-12,0.0244,-0.01377,-0.02212,-0.00109,0.00008,0,0.0013,0.0475,EURUSD_673,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,114,10-Mar-12,10-Mar-12,0.02435,-0.01352,-0.02173,-0.00107,0.00008,0,0.0012,0.0475,EURUSD_674,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,115,11-Mar-12,11-Mar-12,0.0231,-0.01284,-0.02063,-0.00103,0.00007,0,0.0012,0.045,EURUSD_675,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,116,12-Mar-12,12-Mar-12,0.02305,-0.01196,-0.01921,-0.00097,0.00007,0,0.0011,0.045,EURUSD_676,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,117,13-Mar-12,13-Mar-12,0.023,-0.01113,-0.01789,-0.00091,0.00006,0,0.001,0.045,EURUSD_677,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,118,14-Mar-12,14-Mar-12,0.0217,-0.01036,-0.01665,-0.00085,0.00006,0,0.0009,0.0425,EURUSD_678,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,119,15-Mar-12,15-Mar-12,0.0217,-0.00964,-0.01549,-0.0008,0.00006,0,0.0009,0.0425,EURUSD_679,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,120,16-Mar-12,16-Mar-12,0.0204,-0.00898,-0.01444,-0.00075,0.00005,0,0.0008,0.04,EURUSD_680,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,121,17-Mar-12,17-Mar-12,0.0204,-0.00882,-0.01417,-0.00074,0.00005,0,0.0008,0.04,EURUSD_681,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,122,18-Mar-12,18-Mar-12,0.0204,-0.00838,-0.01346,-0.00071,0.00005,0,0.0008,0.04,EURUSD_682,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,123,19-Mar-12,19-Mar-12,0.0191,-0.0078,-0.01253,-0.00067,0.00004,0,0.0007,0.0375,EURUSD_683,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,124,20-Mar-12,20-Mar-12,0.01785,-0.00726,-0.01167,-0.00063,0.00004,0,0.0007,0.035,EURUSD_684,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,125,21-Mar-12,21-Mar-12,0.01655,-0.00676,-0.01086,-0.00059,0.00004,0,0.0006,0.0325,EURUSD_685,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,126,22-Mar-12,22-Mar-12,0.0153,-0.00629,-0.0101,-0.00055,0.00004,0,0.0006,0.03,EURUSD_686,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,127,23-Mar-12,23-Mar-12,0.014,-0.00586,-0.00941,-0.00052,0.00003,0,0.0005,0.0275,EURUSD_687,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,128,24-Mar-12,24-Mar-12,0.014,-0.00575,-0.00924,-0.00051,0.00003,0,0.0005,0.0275,EURUSD_688,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.29,1.39,129,25-Mar-12,25-Mar-12,0.014,-0.00547,-0.00878,-0.00049,0.00003,0,0.0005,0.0275,EURUSD_689,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,1,18-Nov-11,18-Nov-11,0.9849,0.06818,-0.27879,-0.00014,0.00011,0,0.97,0.9998,EURUSD_690,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,2,19-Nov-11,19-Nov-11,0.96965,0.24919,-0.84032,-0.00065,0.00071,0,0.94,0.9993,EURUSD_691,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,3,20-Nov-11,20-Nov-11,0.95375,1.4762,-3.6783,-0.00439,0.00659,0,0.915,0.9925,EURUSD_692,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,4,21-Nov-11,21-Nov-11,0.935,3.5449,-7.5842,-0.01284,0.02044,0,0.8925,0.9775,EURUSD_693,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,5,22-Nov-11,22-Nov-11,0.91375,4.8891,-9.9168,-0.0217,0.03197,-0.00014,0.86,0.9675,EURUSD_694,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,6,23-Nov-11,23-Nov-11,0.875,5.5119,-10.95,-0.02937,0.03875,-0.00028,0.8175,0.9325,EURUSD_695,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,7,24-Nov-11,24-Nov-11,0.83875,5.6744,-11.19,-0.03494,0.04031,-0.00042,0.7825,0.895,EURUSD_696,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,8,25-Nov-11,25-Nov-11,0.8,5.6435,-11.09,-0.03988,0.04118,-0.00053,0.745,0.855,EURUSD_697,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,9,26-Nov-11,26-Nov-11,0.78875,5.6155,-11.03,-0.04277,0.03773,-0.00065,0.7375,0.84,EURUSD_698,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,10,27-Nov-11,27-Nov-11,0.75625,5.4919,-10.78,-0.04613,0.03656,-0.00074,0.7075,0.805,EURUSD_699,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,11,28-Nov-11,28-Nov-11,0.71875,5.2643,-10.34,-0.04914,0.03593,-0.00079,0.6725,0.765,EURUSD_700,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,12,29-Nov-11,29-Nov-11,0.6825,5.0082,-9.8367,-0.05144,0.03486,-0.00082,0.6375,0.7275,EURUSD_701,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,13,30-Nov-11,30-Nov-11,0.6475,4.7425,-9.3202,-0.05316,0.03355,-0.00084,0.605,0.69,EURUSD_702,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,14,01-Dec-11,01-Dec-11,0.615,4.4794,-8.8075,-0.05442,0.03211,-0.00084,0.575,0.655,EURUSD_703,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,15,02-Dec-11,02-Dec-11,0.5825,4.2241,-8.3087,-0.05527,0.03062,-0.00084,0.545,0.62,EURUSD_704,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,16,03-Dec-11,03-Dec-11,0.57375,4.1668,-8.1856,-0.05677,0.02879,-0.00089,0.5375,0.61,EURUSD_705,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,17,04-Dec-11,04-Dec-11,0.5525,3.9937,-7.8422,-0.05755,0.02736,-0.0009,0.5175,0.5875,EURUSD_706,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,18,05-Dec-11,05-Dec-11,0.525,3.7613,-7.3858,-0.05771,0.02607,-0.00087,0.4925,0.5575,EURUSD_707,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,19,06-Dec-11,06-Dec-11,0.49875,3.5353,-6.9552,-0.05764,0.02479,-0.00085,0.4675,0.53,EURUSD_708,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,20,07-Dec-11,07-Dec-11,0.47375,3.3223,-6.5481,-0.05737,0.02355,-0.00082,0.4425,0.505,EURUSD_709,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,21,08-Dec-11,08-Dec-11,0.45,3.1214,-6.1631,-0.05692,0.02234,-0.00078,0.42,0.48,EURUSD_710,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,22,09-Dec-11,09-Dec-11,0.42875,2.9326,-5.8003,-0.05632,0.02118,-0.00075,0.4,0.4575,EURUSD_711,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,23,10-Dec-11,10-Dec-11,0.42375,2.8861,-5.7137,-0.05709,0.0202,-0.00077,0.395,0.4525,EURUSD_712,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,24,11-Dec-11,11-Dec-11,0.41,2.7588,-5.4698,-0.05685,0.01921,-0.00076,0.3825,0.4375,EURUSD_713,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,25,12-Dec-11,12-Dec-11,0.39125,2.5916,-5.1471,-0.05594,0.01822,-0.00072,0.365,0.4175,EURUSD_714,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,26,13-Dec-11,13-Dec-11,0.37375,2.4366,-4.8438,-0.05494,0.01727,-0.00068,0.3475,0.4,EURUSD_715,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,27,14-Dec-11,14-Dec-11,0.35625,2.2907,-4.5582,-0.05386,0.01635,-0.00065,0.33,0.3825,EURUSD_716,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,28,15-Dec-11,15-Dec-11,0.34125,2.1534,-4.2886,-0.0527,0.01548,-0.00062,0.315,0.3675,EURUSD_717,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,29,16-Dec-11,16-Dec-11,0.32625,2.0246,-4.0354,-0.0515,0.01465,-0.00059,0.3,0.3525,EURUSD_718,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,30,17-Dec-11,17-Dec-11,0.3225,1.9932,-3.9749,-0.05185,0.01408,-0.0006,0.2975,0.3475,EURUSD_719,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,31,18-Dec-11,18-Dec-11,0.315,1.9062,-3.8043,-0.05116,0.01341,-0.00058,0.29,0.34,EURUSD_720,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,32,19-Dec-11,19-Dec-11,0.3025,1.7923,-3.5799,-0.04983,0.01269,-0.00055,0.2775,0.3275,EURUSD_721,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,33,20-Dec-11,20-Dec-11,0.29,1.6881,-3.3745,-0.04855,0.01201,-0.00052,0.265,0.315,EURUSD_722,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,34,21-Dec-11,21-Dec-11,0.28,1.5898,-3.1804,-0.04724,0.01137,-0.00049,0.255,0.305,EURUSD_723,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,35,22-Dec-11,22-Dec-11,0.2675,1.4974,-2.9971,-0.04592,0.01076,-0.00047,0.2425,0.2925,EURUSD_724,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,36,23-Dec-11,23-Dec-11,0.26,1.411,-2.8254,-0.0446,0.01018,-0.00044,0.235,0.285,EURUSD_725,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,37,24-Dec-11,24-Dec-11,0.2575,1.3897,-2.7839,-0.04473,0.00983,-0.00045,0.2325,0.2825,EURUSD_726,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,38,25-Dec-11,25-Dec-11,0.25,1.3352,-2.6758,-0.04402,0.00939,-0.00044,0.225,0.275,EURUSD_727,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,39,26-Dec-11,26-Dec-11,0.245,1.2765,-2.5595,-0.04314,0.00895,-0.00042,0.22,0.27,EURUSD_728,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,40,27-Dec-11,27-Dec-11,0.24,1.2209,-2.4491,-0.04226,0.00854,-0.00041,0.215,0.265,EURUSD_729,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,41,28-Dec-11,28-Dec-11,0.2325,1.15,-2.3079,-0.04091,0.00808,-0.00038,0.2075,0.2575,EURUSD_730,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,42,29-Dec-11,29-Dec-11,0.225,1.0836,-2.1756,-0.03958,0.00764,-0.00036,0.2,0.25,EURUSD_731,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,43,30-Dec-11,30-Dec-11,0.2175,1.0207,-2.0504,-0.03826,0.00723,-0.00034,0.1925,0.2425,EURUSD_732,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,44,31-Dec-11,31-Dec-11,0.2175,1.005,-2.0197,-0.03825,0.007,-0.00035,0.1925,0.2425,EURUSD_733,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,45,01-Jan-12,01-Jan-12,0.2125,0.96598,-1.9422,-0.03752,0.0067,-0.00034,0.1875,0.2375,EURUSD_734,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,46,02-Jan-12,02-Jan-12,0.2075,0.92348,-1.8576,-0.03664,0.00639,-0.00032,0.1825,0.2325,EURUSD_735,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,47,03-Jan-12,03-Jan-12,0.2,0.87011,-1.7511,-0.03535,0.00605,-0.00031,0.175,0.225,EURUSD_736,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,48,04-Jan-12,04-Jan-12,0.195,0.81963,-1.6502,-0.03409,0.00572,-0.00029,0.17,0.22,EURUSD_737,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,49,05-Jan-12,05-Jan-12,0.19,0.77215,-1.5553,-0.03285,0.00541,-0.00027,0.165,0.215,EURUSD_738,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,50,06-Jan-12,06-Jan-12,0.1825,0.72726,-1.4656,-0.03164,0.00512,-0.00026,0.1575,0.2075,EURUSD_739,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,51,07-Jan-12,07-Jan-12,0.1825,0.71624,-1.4441,-0.03158,0.00497,-0.00026,0.1575,0.2075,EURUSD_740,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,52,08-Jan-12,08-Jan-12,0.1775,0.68621,-1.3842,-0.03082,0.00475,-0.00025,0.1525,0.2025,EURUSD_741,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,53,09-Jan-12,09-Jan-12,0.1725,0.64647,-1.3046,-0.02965,0.00449,-0.00024,0.1475,0.1975,EURUSD_742,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,54,10-Jan-12,10-Jan-12,0.1675,0.60891,-1.2294,-0.02852,0.00425,-0.00022,0.1425,0.1925,EURUSD_743,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,55,11-Jan-12,11-Jan-12,0.16,0.57364,-1.1587,-0.02742,0.00402,-0.00021,0.135,0.185,EURUSD_744,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,56,12-Jan-12,12-Jan-12,0.155,0.54042,-1.0921,-0.02635,0.0038,-0.0002,0.13,0.18,EURUSD_745,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,57,13-Jan-12,13-Jan-12,0.15,0.50925,-1.0295,-0.02532,0.00359,-0.00019,0.125,0.175,EURUSD_746,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,58,14-Jan-12,14-Jan-12,0.15,0.50159,-1.0146,-0.02523,0.00349,-0.00019,0.125,0.175,EURUSD_747,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,59,15-Jan-12,15-Jan-12,0.1475,0.48041,-0.97225,-0.02457,0.00334,-0.00018,0.1225,0.1725,EURUSD_748,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,60,16-Jan-12,16-Jan-12,0.1425,0.45796,-0.92725,-0.02381,0.00318,-0.00017,0.1175,0.1675,EURUSD_749,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,61,17-Jan-12,17-Jan-12,0.1375,0.43151,-0.87409,-0.02286,0.00301,-0.00016,0.1125,0.1625,EURUSD_750,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,62,18-Jan-12,18-Jan-12,0.135,0.40646,-0.82372,-0.02192,0.00284,-0.00015,0.11,0.16,EURUSD_751,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,63,19-Jan-12,19-Jan-12,0.13,0.38291,-0.77632,-0.02102,0.00269,-0.00014,0.105,0.155,EURUSD_752,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,64,20-Jan-12,20-Jan-12,0.125,0.35943,-0.72903,-0.02009,0.00253,-0.00014,0.1,0.15,EURUSD_753,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,65,21-Jan-12,21-Jan-12,0.125,0.35346,-0.71734,-0.01997,0.00247,-0.00014,0.1,0.15,EURUSD_754,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,66,22-Jan-12,22-Jan-12,0.12,0.33765,-0.68558,-0.01937,0.00235,-0.00013,0.095,0.145,EURUSD_755,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,67,23-Jan-12,23-Jan-12,0.1175,0.31684,-0.6436,-0.01849,0.00222,-0.00012,0.0925,0.1425,EURUSD_756,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,68,24-Jan-12,24-Jan-12,0.1125,0.29748,-0.60431,-0.01766,0.00209,-0.00011,0.0875,0.1375,EURUSD_757,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,69,25-Jan-12,25-Jan-12,0.1075,0.27937,-0.56757,-0.01686,0.00197,-0.00011,0.0825,0.1325,EURUSD_758,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,70,26-Jan-12,26-Jan-12,0.105,0.26221,-0.53274,-0.01608,0.00186,-0.0001,0.08,0.13,EURUSD_759,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,71,27-Jan-12,27-Jan-12,0.1,0.24624,-0.50031,-0.01534,0.00175,-0.0001,0.075,0.125,EURUSD_760,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,72,28-Jan-12,28-Jan-12,0.1,0.24223,-0.49228,-0.01524,0.0017,-0.00009,0.075,0.125,EURUSD_761,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,73,29-Jan-12,29-Jan-12,0.0975,0.2314,-0.47033,-0.01475,0.00163,-0.00009,0.0725,0.1225,EURUSD_762,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,74,30-Jan-12,30-Jan-12,0.095,0.21729,-0.44167,-0.01406,0.00153,-0.00009,0.07,0.12,EURUSD_763,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,75,31-Jan-12,31-Jan-12,0.09,0.20396,-0.41461,-0.0134,0.00144,-0.00008,0.065,0.115,EURUSD_764,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,76,01-Feb-12,01-Feb-12,0.0875,0.19153,-0.38935,-0.01277,0.00136,-0.00008,0.0625,0.1125,EURUSD_765,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,77,02-Feb-12,02-Feb-12,0.085,0.17984,-0.36561,-0.01217,0.00128,-0.00007,0.06,0.11,EURUSD_766,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,78,03-Feb-12,03-Feb-12,0.08,0.1688,-0.34319,-0.01159,0.00121,-0.00007,0.055,0.105,EURUSD_767,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,79,04-Feb-12,04-Feb-12,0.08,0.16617,-0.33791,-0.01151,0.00118,-0.00007,0.055,0.105,EURUSD_768,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,80,05-Feb-12,05-Feb-12,0.0775,0.15869,-0.32275,-0.01112,0.00112,-0.00006,0.0525,0.1025,EURUSD_769,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,81,06-Feb-12,06-Feb-12,0.075,0.14902,-0.3031,-0.01059,0.00106,-0.00006,0.05,0.1,EURUSD_770,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,82,07-Feb-12,07-Feb-12,0.0725,0.1399,-0.28456,-0.01008,0.001,-0.00006,0.0475,0.0975,EURUSD_771,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,83,08-Feb-12,08-Feb-12,0.07,0.13133,-0.26714,-0.00959,0.00094,-0.00005,0.045,0.095,EURUSD_772,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,84,09-Feb-12,09-Feb-12,0.0675,0.12327,-0.25078,-0.00913,0.00088,-0.00005,0.0425,0.0925,EURUSD_773,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,85,10-Feb-12,10-Feb-12,0.065,0.11575,-0.23548,-0.00868,0.00083,-0.00005,0.04,0.09,EURUSD_774,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,86,11-Feb-12,11-Feb-12,0.065,0.11391,-0.23178,-0.00861,0.00081,-0.00005,0.04,0.09,EURUSD_775,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,87,12-Feb-12,12-Feb-12,0.0625,0.10883,-0.22148,-0.00832,0.00077,-0.00004,0.0375,0.0875,EURUSD_776,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,88,13-Feb-12,13-Feb-12,0.06,0.10215,-0.20791,-0.00791,0.00073,-0.00004,0.035,0.085,EURUSD_777,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,89,14-Feb-12,14-Feb-12,0.0575,0.09588,-0.19516,-0.00752,0.00069,-0.00004,0.0325,0.0825,EURUSD_778,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,90,15-Feb-12,15-Feb-12,0.055,0.09003,-0.18325,-0.00715,0.00065,-0.00004,0.03,0.08,EURUSD_779,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,91,16-Feb-12,16-Feb-12,0.0525,0.08453,-0.17207,-0.0068,0.00061,-0.00004,0.0275,0.0775,EURUSD_780,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,92,17-Feb-12,17-Feb-12,0.05,0.07937,-0.16157,-0.00646,0.00057,-0.00003,0.025,0.075,EURUSD_781,1
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,93,18-Feb-12,18-Feb-12,0.05,0.07816,-0.15915,-0.00641,0.00056,-0.00003,0.025,0.075,EURUSD_782,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,94,19-Feb-12,19-Feb-12,0.05,0.07481,-0.15235,-0.00619,0.00053,-0.00003,0.025,0.075,EURUSD_783,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,95,20-Feb-12,20-Feb-12,0.0475,0.07129,-0.14519,-0.00596,0.00051,-0.00003,0.0225,0.0725,EURUSD_784,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,96,21-Feb-12,21-Feb-12,0.045,0.0671,-0.13667,-0.00568,0.00048,-0.00003,0.02,0.07,EURUSD_785,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,97,22-Feb-12,22-Feb-12,0.0425,0.06313,-0.12858,-0.0054,0.00045,-0.00003,0.0175,0.0675,EURUSD_786,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,98,23-Feb-12,23-Feb-12,0.0425,0.05944,-0.12106,-0.00514,0.00043,-0.00003,0.0175,0.0675,EURUSD_787,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,99,24-Feb-12,24-Feb-12,0.04,0.05597,-0.11399,-0.0049,0.0004,-0.00002,0.015,0.065,EURUSD_788,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,100,25-Feb-12,25-Feb-12,0.04,0.05512,-0.11227,-0.00485,0.00039,-0.00002,0.015,0.065,EURUSD_789,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,101,26-Feb-12,26-Feb-12,0.0375,0.05276,-0.10748,-0.00469,0.00038,-0.00002,0.0125,0.0625,EURUSD_790,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,102,27-Feb-12,27-Feb-12,0.0375,0.04969,-0.10122,-0.00446,0.00035,-0.00002,0.0125,0.0625,EURUSD_791,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,103,28-Feb-12,28-Feb-12,0.035,0.04677,-0.09527,-0.00425,0.00033,-0.00002,0.01,0.06,EURUSD_792,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,104,29-Feb-12,29-Feb-12,0.0325,0.044,-0.08963,-0.00404,0.00032,-0.00002,0.0075,0.0575,EURUSD_793,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,105,01-Mar-12,01-Mar-12,0.0325,0.04143,-0.08439,-0.00384,0.0003,-0.00002,0.0075,0.0575,EURUSD_794,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,106,02-Mar-12,02-Mar-12,0.03,0.03901,-0.07947,-0.00366,0.00028,-0.00002,0.005,0.055,EURUSD_795,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,107,03-Mar-12,03-Mar-12,0.03,0.03841,-0.07825,-0.00362,0.00027,-0.00002,0.005,0.055,EURUSD_796,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,108,04-Mar-12,04-Mar-12,0.03,0.03676,-0.0749,-0.0035,0.00026,-0.00002,0.005,0.055,EURUSD_797,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,109,05-Mar-12,05-Mar-12,0.02985,0.03461,-0.07051,-0.00332,0.00025,-0.00002,0.0047,0.055,EURUSD_798,0
17-Nov-11,EURUSD,EUR,USD,DNT,,1.3468,,1.3,1.41,110,06-Mar-12,06-Mar-12,0.0297,0.03259,-0.0664,-0.00316,0.00023,-0.00001,0.0044,0.055,EURUSD_799,0
