Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.8,,,1,02-Dec-11,02-Dec-11,0.045,2.4316,8.6683,0.0032,-0.00637,0,0,0,0.0075,0.0825,GBPJPY_69,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.9,,,1,02-Dec-11,02-Dec-11,0.0398,1.813,6.757,0.0025,-0.00459,0,0,0,0.0046,0.075,GBPJPY_70,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124,,,1,02-Dec-11,02-Dec-11,0.03415,1.3345,5.19,0.00192,-0.00327,0,0,0,0.0033,0.065,GBPJPY_71,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.1,,,1,02-Dec-11,02-Dec-11,0.0299,0.96982,3.9286,0.00145,-0.0023,0,0,0,0.0023,0.0575,GBPJPY_72,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.2,,,1,02-Dec-11,02-Dec-11,0.0258,0.69584,2.9313,0.00108,-0.0016,0,0,0,0.0016,0.05,GBPJPY_73,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.3,,,1,02-Dec-11,02-Dec-11,0.02305,0.49294,2.1562,0.0008,-0.0011,0,0,0,0.0011,0.045,GBPJPY_74,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.4,,,1,02-Dec-11,02-Dec-11,0.0191,0.34479,1.5639,0.00058,-0.00075,0,0,0,0.0007,0.0375,GBPJPY_75,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.5,,,1,02-Dec-11,02-Dec-11,0.0165,0.23813,1.1185,0.00041,-0.0005,0,0,0,0.0005,0.0325,GBPJPY_76,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.6,,,1,02-Dec-11,02-Dec-11,0.01515,0.1624,0.78894,0.00029,-0.00033,0,0,0,0.0003,0.03,GBPJPY_77,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.7,,,1,02-Dec-11,02-Dec-11,0.0126,0.10936,0.54889,0.0002,-0.00022,0,0,0,0.0002,0.025,GBPJPY_78,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.8,,,1,02-Dec-11,02-Dec-11,0.00215,0.07273,0.3767,0.00014,-0.00014,0,0,0,0.0001,0.0042,GBPJPY_79,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,124.9,,,1,02-Dec-11,02-Dec-11,0.03005,0.04776,0.25505,0.00009,-0.00009,0,0,0,0.0001,0.06,GBPJPY_80,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,125,,,1,02-Dec-11,02-Dec-11,0.0413,0.03097,0.17037,0.00006,-0.00006,0,0,0,0.0001,0.0825,GBPJPY_81,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117,,,2,03-Dec-11,03-Dec-11,0.95625,0.00028,-0.00176,0,-0.00005,0,0,0,0.9125,1,GBPJPY_82,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.1,,,2,03-Dec-11,03-Dec-11,0.95625,0.00048,-0.00292,0,-0.00005,0,0,0,0.9125,1,GBPJPY_83,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.2,,,2,03-Dec-11,03-Dec-11,0.95625,0.0008,-0.00478,0,-0.00005,0,0,0,0.9125,1,GBPJPY_84,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.3,,,2,03-Dec-11,03-Dec-11,0.96,0.00133,-0.00772,0,-0.00005,0,0,0,0.92,1,GBPJPY_85,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.4,,,2,03-Dec-11,03-Dec-11,0.97,0.00217,-0.0123,-0.00001,-0.00005,0,0,0,0.94,1,GBPJPY_86,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.5,,,2,03-Dec-11,03-Dec-11,0.99125,0.0035,-0.01936,-0.00001,-0.00005,0,0,0,0.9825,1,GBPJPY_87,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.6,,,2,03-Dec-11,03-Dec-11,0.99,0.00558,-0.0301,-0.00002,-0.00005,0,0,0,0.98,1,GBPJPY_88,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.7,,,2,03-Dec-11,03-Dec-11,0.98875,0.00878,-0.0462,-0.00003,-0.00004,0,0,0,0.9775,1,GBPJPY_89,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.8,,,2,03-Dec-11,03-Dec-11,0.9875,0.01366,-0.07003,-0.00004,-0.00003,0,0,0,0.975,1,GBPJPY_90,0
