Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.904,0.923,1,03-Dec-11,03-Dec-11,0.68625,-36.62,-145.78,-0.05583,-0.29407,0,0,0,0.575,0.7975,USDCHF_92,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.902,0.924,1,03-Dec-11,03-Dec-11,0.7725,-37.44,-122.94,-0.04708,-0.27014,0,0,0,0.6725,0.8725,USDCHF_93,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.9,0.925,1,03-Dec-11,03-Dec-11,0.83125,-34.97,-101.01,-0.03868,-0.23769,0,0,0,0.745,0.9175,USDCHF_94,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.898,0.926,1,03-Dec-11,03-Dec-11,0.87375,-30.49,-82.16,-0.03146,-0.20462,0,0,0,0.7975,0.95,USDCHF_95,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.896,0.927,1,03-Dec-11,03-Dec-11,0.8975,-25.21,-66.58,-0.0255,-0.17434,0,0,0,0.835,0.96,USDCHF_96,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.894,0.928,1,03-Dec-11,03-Dec-11,0.91125,-19.98,-53.68,-0.02056,-0.14784,0,0,0,0.855,0.9675,USDCHF_97,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.892,0.929,1,03-Dec-11,03-Dec-11,0.92125,-15.32,-42.84,-0.01641,-0.125,0,0,0,0.87,0.9725,USDCHF_98,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.89,0.93,1,03-Dec-11,03-Dec-11,0.93,-11.41,-33.66,-0.01289,-0.10526,0,0,0,0.8825,0.9775,USDCHF_99,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.888,0.931,1,03-Dec-11,03-Dec-11,0.935,-8.2904,-25.93,-0.00993,-0.08812,0,0,0,0.89,0.98,USDCHF_100,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.886,0.932,1,03-Dec-11,03-Dec-11,0.93875,-5.8872,-19.53,-0.00748,-0.07316,0,0,0,0.8975,0.98,USDCHF_101,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.884,0.933,1,03-Dec-11,03-Dec-11,0.95,-4.09,-14.37,-0.0055,-0.06013,0,0,0,0.91,0.99,USDCHF_102,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.882,0.934,1,03-Dec-11,03-Dec-11,0.95625,-2.7814,-10.32,-0.00395,-0.04887,0,0,0,0.92,0.9925,USDCHF_103,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.88,0.935,1,03-Dec-11,03-Dec-11,0.9616,-1.852,-7.2438,-0.00277,-0.03924,0,0,0,0.9275,0.9957,USDCHF_104,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.878,0.936,1,03-Dec-11,03-Dec-11,0.96615,-1.2075,-4.9641,-0.0019,-0.03112,0,0,0,0.935,0.9973,USDCHF_105,0
